evaluation_environment,risk_method,design_count,min_cost,min_cvar,min_expected_unmet
Full464_Coastal_Inland,Coastal/Inland,1,36868.02613380521,0.0,0.0
Full464_Coastal_Inland,Engineered Logistic,5,37668.45262032099,0.0,0.0
Full464_Coastal_Inland,Fixed,1,36868.02613380521,0.0,0.0
Full464_Coastal_Inland,Historical,1,36868.02613380521,0.0,0.0
Full464_Coastal_Inland,ML Dynamic,6,38030.29572898186,0.0,0.0
Full464_Coastal_Inland,Rule-based,1,38702.922904558414,0.0,0.0
Full464_Engineered_Logistic,Coastal/Inland,1,38567.49996239074,116.69001756407704,11.669001756407706
Full464_Engineered_Logistic,Engineered Logistic,5,39123.70795017137,3.084116161216594,0.3084116161216594
Full464_Engineered_Logistic,Fixed,1,38567.49996239074,116.69001756407704,11.669001756407706
Full464_Engineered_Logistic,Historical,1,38567.49996239074,116.69001756407704,11.669001756407706
Full464_Engineered_Logistic,ML Dynamic,6,39064.91144298074,1.3385570287912307,0.13385570287912307
Full464_Engineered_Logistic,Rule-based,1,39508.99344943081,56.764885407516914,5.676488540751691
Full464_Fixed,Coastal/Inland,1,36927.66731603065,0.0,0.0
Full464_Fixed,Engineered Logistic,5,37710.32314767191,0.0,0.0
Full464_Fixed,Fixed,1,36927.66731603065,0.0,0.0
Full464_Fixed,Historical,1,36927.66731603065,0.0,0.0
Full464_Fixed,ML Dynamic,6,38073.11360719846,0.0,0.0
Full464_Fixed,Rule-based,1,38731.67125478344,0.0,0.0
Full464_Historical,Coastal/Inland,1,36983.20777679687,0.0,0.0
Full464_Historical,Engineered Logistic,5,37745.67134281458,0.0,0.0
Full464_Historical,Fixed,1,36983.20777679687,0.0,0.0
Full464_Historical,Historical,1,36983.20777679687,0.0,0.0
Full464_Historical,ML Dynamic,6,38161.04039482374,0.0,0.0
Full464_Historical,Rule-based,1,38745.41383208689,0.0,0.0
Full464_RF_calibrated,Coastal/Inland,1,39460.33200488567,180.18768376476052,18.01876837647605
Full464_RF_calibrated,Engineered Logistic,5,39882.06990017508,23.53540602715247,2.353540602715247
Full464_RF_calibrated,Fixed,1,39460.33200488567,180.18768376476052,18.01876837647605
Full464_RF_calibrated,Historical,1,39460.33200488567,180.18768376476052,18.01876837647605
Full464_RF_calibrated,ML Dynamic,6,39691.172670257605,15.257695115771986,1.5257695115771988
Full464_RF_calibrated,Rule-based,1,40190.5516269787,107.67807155849526,10.767807155849527
Full464_RF_uncalibrated,Coastal/Inland,1,39475.34080018329,169.90378580867227,16.990378580867226
Full464_RF_uncalibrated,Engineered Logistic,5,39831.555562810405,18.20647068828375,1.8206470688283753
Full464_RF_uncalibrated,Fixed,1,39475.34080018329,169.90378580867227,16.990378580867226
Full464_RF_uncalibrated,Historical,1,39475.34080018329,169.90378580867227,16.990378580867226
Full464_RF_uncalibrated,ML Dynamic,6,39661.1532223929,10.877574606798486,1.0877574606798486
Full464_RF_uncalibrated,Rule-based,1,40185.510815499496,99.1738967177747,9.91738967177747
Full464_Rule_binary,Coastal/Inland,1,39921.176546785064,209.26724137931035,20.926724137931036
Full464_Rule_binary,Engineered Logistic,5,39713.89798853208,32.54310344827586,3.2543103448275863
Full464_Rule_binary,Fixed,1,39921.176546785064,209.26724137931035,20.926724137931036
Full464_Rule_binary,Historical,1,39921.176546785064,209.26724137931035,20.926724137931036
Full464_Rule_binary,ML Dynamic,6,40391.93324336664,24.78448275862069,2.478448275862069
Full464_Rule_binary,Rule-based,1,39713.89798853208,63.793103448275865,6.379310344827585
