model,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,brier_score_mean,brier_score_std,log_loss_mean,log_loss_std,ece_mean,ece_std,f1_at_05_mean,f1_at_05_std,recall_at_05_mean,recall_at_05_std,precision_at_05_mean,precision_at_05_std
Random Forest,0.9947360017443325,0.002343096905289237,0.8170334707440479,0.0503859392587977,0.010394823320947913,0.0028326600708770454,0.03429642149373561,0.006991218753816598,0.013369127179489534,0.003620013122310829,0.7360901954586165,0.06970978751845719,0.8556463861341909,0.08656247040766016,0.6533494951333948,0.0949835830088654
XGBoost,0.9936269872806835,0.002635886488198754,0.7498279358553845,0.06000343771585407,0.010481963483015376,0.0028562578369269757,0.0335555391198628,0.008407627504304075,0.008755451137061599,0.0015294552726977653,0.6973193473193473,0.05527781706194233,0.70801393728223,0.10461438810166099,0.695351391903116,0.061365760944639955
LightGBM,0.990726157410825,0.004629665790446522,0.7061136631747453,0.03736027796584524,0.014257746710776995,0.005033355140261671,0.0631895980675776,0.015501793366885999,0.014817658181907367,0.00493816516642562,0.7144842437942025,0.07096686791532021,0.8325694630572679,0.11148662690294094,0.6341320236367405,0.08836120646501042
Gradient Boosting,0.9924541096808113,0.0018836345307006422,0.6918183070540517,0.08406256478753116,0.011547388545588576,0.0025085458139299374,0.03708994404302781,0.007355613631912703,0.009417373420557765,0.0021589101833819893,0.706333387088104,0.03440342837644244,0.7359689091396409,0.06954080410939321,0.684105534105534,0.05750894362491702
Logistic Regression,0.987931930778195,0.002368835967520346,0.6472059441124606,0.04591088663780703,0.04759290676359636,0.007792718775620171,0.14361607848907254,0.023253264228324456,0.0700407863173951,0.011402608974387883,0.4196702992028108,0.052652120923689566,0.9928571428571429,0.01597191412499849,0.267010773954009,0.04128371303074429
SVM,0.9747736311712352,0.0039831384067351636,0.5424930763223791,0.06320578727183729,0.015798489379293228,0.003466915761888999,0.053739846640269,0.010414908672934037,0.006453271542866204,0.001337000141387987,0.382294211903916,0.10845563832610888,0.27682033413740725,0.09832167823006385,0.6521933621933622,0.09279609515285347
MLP,0.6743440331422483,0.05658459143466762,0.054684348688665875,0.014734407962061321,0.054785419202179574,0.043260662399095706,0.2320652988376632,0.11866419436698879,0.14722213801869546,0.09203312679801987,0.00784313725490196,0.01753778805882188,0.004878048780487805,0.010907648670730682,0.02,0.044721359549995794
