selection_method,selected_count,scenario_weight_sum,mean_total_predicted_risk,max_total_predicted_risk,mean_max_node_risk,max_node_risk,weighted_total_risk_share,retention_top5_total_predicted_risk,retention_top5_max_predicted_risk,retention_top5_observed_exposure_count,retention_top10_total_predicted_risk,retention_top10_max_predicted_risk,retention_top10_observed_exposure_count,retention_top20_total_predicted_risk,retention_top20_max_predicted_risk,retention_top20_observed_exposure_count,retention_top29_total_predicted_risk,retention_top29_max_predicted_risk,retention_top29_observed_exposure_count
Hybrid final,29.0,0.0624999999999999,1.9705830273633016,5.578614104759814,0.4523705089496378,0.9730863092467628,0.30995363476870547,1.0,0.0,0.4,1.0,0.2,0.5,0.6,0.15,0.35,0.41379310344827586,0.2413793103448276,0.3448275862068966
Pure KMeans,29.0,0.0624999999999999,1.8388258257184895,5.578614104759814,0.5797223738084666,0.9766819200141714,0.28922950237251505,0.4,0.2,0.6,0.4,0.1,0.4,0.3,0.1,0.35,0.3103448275862069,0.1724137931034483,0.27586206896551724
Pure Top-risk,29.0,0.0624999999999999,3.6009799879749567,5.578614104759814,0.8535098847442586,0.99145088647062,0.5663992942716204,1.0,0.6,0.8,1.0,0.4,0.9,1.0,0.5,0.85,1.0,0.5172413793103449,0.7586206896551724
Random 29 mean (100 seeds),29.0,0.0624999999999999,0.3954999914431432,3.7210356977939925,0.13660368128972322,0.9258780327422146,0.062208320175587195,0.052000000000000005,0.062,0.054000000000000006,0.065,0.055,0.061,0.0685,0.05799999999999999,0.0575,0.06413793103448275,0.060344827586206885,0.05896551724137931
