scenario_id,SEASON,NAME,node_id,node_name,node_type,p_is_uncalibrated,p_is_calibrated,disrupted,scenario_weight
2000160N21267,2000,UNNAMED,N1,Houston,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N2,New Orleans,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N3,Miami,Market,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N4,Orlando,Warehouse,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N5,Atlanta,Warehouse,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N6,Dallas,Supplier,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N7,Tampa,Market,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N8,Jacksonville,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N9,Mobile,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N10,Savannah,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N11,Charleston,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N12,Corpus Christi,Port,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N13,Baton Rouge,Warehouse,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000160N21267,2000,UNNAMED,N14,Charlotte,Warehouse,0.0,2.932938008986585e-11,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N1,Houston,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N2,New Orleans,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N3,Miami,Market,0.0018561643835616438,8.122035870821715e-05,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N4,Orlando,Warehouse,0.010828310197978894,0.0009963096728701517,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N5,Atlanta,Warehouse,0.010828310197978894,0.0009963096728701517,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N6,Dallas,Supplier,0.003389121747711307,0.00019074960143596853,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N7,Tampa,Market,0.0018561643835616438,8.122035870821715e-05,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N8,Jacksonville,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N9,Mobile,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N10,Savannah,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N11,Charleston,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N12,Corpus Christi,Port,0.0036729962160302713,0.00021382019122567834,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N13,Baton Rouge,Warehouse,0.010828310197978894,0.0009963096728701517,0,0.0021551724137931034
2000175N09340,2000,UNNAMED,N14,Charlotte,Warehouse,0.010828310197978894,0.0009963096728701517,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N1,Houston,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N2,New Orleans,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N3,Miami,Market,0.00169341102644554,0.00021557903279361201,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N4,Orlando,Warehouse,0.0018339805825242717,0.00023559393896783857,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N5,Atlanta,Warehouse,0.0018339805825242717,0.00023559393896783857,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N6,Dallas,Supplier,0.0054752539049466266,0.0007974774890376684,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N7,Tampa,Market,0.00169341102644554,0.00021557903279361201,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N8,Jacksonville,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N9,Mobile,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N10,Savannah,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N11,Charleston,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N12,Corpus Christi,Port,0.003344634802669316,0.0004601311337622318,0,0.0021551724137931034
2000217N11342,2000,ALBERTO,N13,Baton Rouge,Warehouse,0.0018339805825242717,0.00023559393896783857,0,0.0021551724137931034
